Data_Rebalanceamento,Data_Aplicacao,Tamanho_Universo_Restrito,Ativos_Universo_Restrito
2022-01-10,2022-01-11,66,"EALT4 (0.0736), AALR3 (0.0425), AVLL3 (0.0480), AMBP3 (0.0300), AZEV4 (0.0502), BRAP4 (0.0310), AGRO3 (0.0382), BRKM5 (0.1481), CLSC4 (0.0455), GPAR3 (0.0313), CRPG5 (0.0562), DEXP3 (0.0345), EPAR3 (0.0195), EMBJ3 (0.1273), ENMT3 (0.3047), EQPA3 (0.1007), ESTR4 (0.1058), ETER3 (0.0529), EUCA4 (0.0210), FHER3 (0.1388), FESA4 (0.1191), FRAS3 (0.0475), GGBR4 (0.0365), GOAU4 (0.0336), CGRA4 (0.0159), HBTS5 (0.0445), INEP3 (0.0551), RANI3 (0.0367), KEPL3 (0.0169), LOGN3 (0.0317), LUPA3 (0.0671), MGEL4 (0.0714), MBRF3 (0.1029), BMEB4 (0.0694), LEVE3 (0.0579), MTSA4 (0.0523), MNDL3 (0.0408), PATI3 (0.1239), PMAM3 (0.0176), PETR4 (0.0569), PRIO3 (0.0418), PTNT4 (0.0228), PLAS3 (0.0512), PTBL3 (0.0405), POSI3 (0.0601), RSUL4 (0.1697), ROMI3 (0.0159), RSID3 (0.0221), SMTO3 (0.0431), SHUL4 (0.0219), SIMH3 (0.0265), SLCE3 (0.0928), AHEB3 (0.0285), TAEE11 (0.0481), TASA4 (0.0493), TECN3 (0.0546), TKNO4 (0.0541), LAND3 (0.1751), LUXM4 (0.1156), UNIP6 (0.1155), USIM5 (0.0251), VALE3 (0.0182), VIVR3 (0.0428), MWET4 (0.0791), WIZC3 (0.0217), WLMM4 (0.0418)"
2022-01-11,2022-01-12,66,"EALT4 (0.0803), AALR3 (0.0555), AVLL3 (0.0519), AMBP3 (0.0409), AZEV4 (0.0456), BRAP4 (0.0317), AGRO3 (0.0316), BRKM5 (0.1463), CLSC4 (0.0528), GPAR3 (0.0313), CMIG4 (0.0184), CRPG5 (0.0567), DEXP3 (0.0373), EPAR3 (0.0208), EMBJ3 (0.1233), ENMT3 (0.3045), EQPA3 (0.0976), ESTR4 (0.1057), ETER3 (0.0596), EUCA4 (0.0260), FHER3 (0.1447), FESA4 (0.1221), FRAS3 (0.0519), GGBR4 (0.0362), GOAU4 (0.0340), HBTS5 (0.0445), INEP3 (0.0452), RANI3 (0.0350), KEPL3 (0.0233), LOGN3 (0.0377), LUPA3 (0.0641), MGEL4 (0.0741), POMO4 (0.0205), MBRF3 (0.1025), BMEB4 (0.0731), LEVE3 (0.0614), MTSA4 (0.0574), MNDL3 (0.0407), PATI3 (0.1213), PMAM3 (0.0224), PETR4 (0.0554), PRIO3 (0.0496), PTNT4 (0.0334), PLAS3 (0.0525), PTBL3 (0.0425), POSI3 (0.0654), RSUL4 (0.1678), ROMI3 (0.0172), SMTO3 (0.0435), SHUL4 (0.0220), SIMH3 (0.0286), SLCE3 (0.0854), AHEB3 (0.0284), TAEE11 (0.0493), TASA4 (0.0483), TECN3 (0.0585), TKNO4 (0.0613), LAND3 (0.1594), LUXM4 (0.1156), UNIP6 (0.1156), USIM5 (0.0312), VALE3 (0.0185), VIVR3 (0.0419), MWET4 (0.0825), WIZC3 (0.0217), WLMM4 (0.0383)"
2022-01-12,2022-01-13,66,"EALT4 (0.0861), AALR3 (0.0571), AVLL3 (0.0528), AMBP3 (0.0408), AZEV4 (0.0417), BRAP4 (0.0276), AGRO3 (0.0307), BRKM5 (0.1420), CLSC4 (0.0418), CTAX3 (0.0325), CRPG5 (0.0592), DEXP3 (0.0342), EPAR3 (0.0227), EMBJ3 (0.1172), ENMT3 (0.3031), EQPA3 (0.0948), ESTR4 (0.1061), ETER3 (0.0624), EUCA4 (0.0259), FHER3 (0.1480), FESA4 (0.1176), FRAS3 (0.0591), GGBR4 (0.0319), GOAU4 (0.0313), GRND3 (0.0255), HBTS5 (0.0444), INEP3 (0.0476), RANI3 (0.0436), KEPL3 (0.0291), LOGN3 (0.0479), LUPA3 (0.0671), MGEL4 (0.0638), POMO4 (0.0225), MBRF3 (0.1108), BMEB4 (0.0639), LEVE3 (0.0718), MTSA4 (0.0519), MNDL3 (0.0417), PATI3 (0.1213), PMAM3 (0.0263), PETR4 (0.0601), PRIO3 (0.0524), PTNT4 (0.0402), PLAS3 (0.0641), PTBL3 (0.0491), POSI3 (0.0702), RSUL4 (0.1696), ROMI3 (0.0206), SMTO3 (0.0426), SHUL4 (0.0239), SIMH3 (0.0399), SLCE3 (0.0910), AHEB3 (0.0283), TAEE11 (0.0496), TASA4 (0.0416), TECN3 (0.0652), TKNO4 (0.0612), LAND3 (0.1593), LUXM4 (0.1159), UNIP6 (0.1181), USIM5 (0.0270), VIVR3 (0.0467), VULC3 (0.0215), MWET4 (0.0828), WIZC3 (0.0271), WLMM4 (0.0500)"
2022-01-13,2022-01-14,66,"EALT4 (0.0750), AALR3 (0.0543), AVLL3 (0.0490), AMBP3 (0.0405), AZEV4 (0.0326), AGRO3 (0.0291), BRKM5 (0.1359), CLSC4 (0.0415), CMIG4 (0.0198), CTAX3 (0.0240), CRPG5 (0.0520), DEXP3 (0.0244), EMBJ3 (0.1125), ENMT3 (0.3031), EQPA3 (0.0946), ESTR4 (0.0981), ETER3 (0.0520), EUCA4 (0.0202), FHER3 (0.1447), FESA4 (0.1024), FRAS3 (0.0496), GOAU4 (0.0192), GRND3 (0.0295), HBTS5 (0.0444), INEP3 (0.0512), RANI3 (0.0237), KEPL3 (0.0263), LOGN3 (0.0304), LUPA3 (0.0653), MGEL4 (0.0672), POMO4 (0.0214), MBRF3 (0.1184), BMEB4 (0.0634), LEVE3 (0.0700), MTSA4 (0.0445), BEEF3 (0.0235), MNDL3 (0.0419), PATI3 (0.1169), PMAM3 (0.0224), PETR4 (0.0584), PRIO3 (0.0537), PTNT4 (0.0389), PLAS3 (0.0623), PTBL3 (0.0455), POSI3 (0.0730), RSUL4 (0.1677), SMTO3 (0.0355), SHUL4 (0.0198), SIMH3 (0.0343), SLCE3 (0.0908), AHEB3 (0.0283), SYNE3 (0.0221), TAEE11 (0.0560), TASA4 (0.0456), TECN3 (0.0650), TKNO4 (0.0676), VIVT3 (0.0234), LAND3 (0.1554), LUXM4 (0.1249), UNIP6 (0.1135), USIM5 (0.0196), VIVR3 (0.0443), VULC3 (0.0199), MWET4 (0.0833), WIZC3 (0.0211), WLMM4 (0.0407)"
2022-01-14,2022-01-17,66,"EALT4 (0.0741), AALR3 (0.0502), AVLL3 (0.0453), AMBP3 (0.0409), AZEV4 (0.0300), AGRO3 (0.0334), BRKM5 (0.1371), CLSC4 (0.0402), GPAR3 (0.0180), CTAX3 (0.0267), CRPG5 (0.0507), DEXP3 (0.0200), EPAR3 (0.0200), EMBJ3 (0.1127), ENMT3 (0.3028), EQPA3 (0.0846), ESTR4 (0.0978), ETER3 (0.0521), EUCA4 (0.0254), FHER3 (0.1448), FESA4 (0.1003), FRAS3 (0.0499), GGBR4 (0.0218), GOAU4 (0.0223), GRND3 (0.0207), HBTS5 (0.0293), INEP3 (0.0570), RANI3 (0.0170), KEPL3 (0.0235), LOGN3 (0.0290), LUPA3 (0.0652), MGEL4 (0.0645), MBRF3 (0.1218), BMEB4 (0.0641), LEVE3 (0.0626), MTSA4 (0.0539), BEEF3 (0.0249), MNDL3 (0.0355), PATI3 (0.1097), PMAM3 (0.0187), PETR4 (0.0637), PRIO3 (0.0576), PTNT4 (0.0363), PLAS3 (0.0649), PTBL3 (0.0432), POSI3 (0.0667), RSUL4 (0.1702), SMTO3 (0.0315), SHUL4 (0.0320), SIMH3 (0.0311), SLCE3 (0.0856), AHEB3 (0.0282), SYNE3 (0.0205), TAEE11 (0.0492), TASA4 (0.0475), TECN3 (0.0612), TKNO4 (0.0675), LAND3 (0.1573), LUXM4 (0.1248), UNIP6 (0.1145), USIM5 (0.0208), VIVR3 (0.0423), VULC3 (0.0216), MWET4 (0.0787), WIZC3 (0.0205), WLMM4 (0.0374)"
2022-01-17,2022-01-18,66,"EALT4 (0.0653), AALR3 (0.0522), AVLL3 (0.0542), AMBP3 (0.0336), AZEV4 (0.0273), AGRO3 (0.0265), BRKM5 (0.1245), CLSC4 (0.0445), GPAR3 (0.0192), CTAX3 (0.0232), CPLE3 (0.0219), CRPG5 (0.0546), DEXP3 (0.0193), EKTR4 (0.0188), EPAR3 (0.0223), EMBJ3 (0.1128), ENMT3 (0.3030), EQPA3 (0.0915), ESTR4 (0.0915), ETER3 (0.0566), EUCA4 (0.0254), FHER3 (0.1450), FESA4 (0.0994), FRAS3 (0.0467), GGBR4 (0.0227), GOAU4 (0.0224), GRND3 (0.0226), HBTS5 (0.0293), INEP3 (0.0495), RANI3 (0.0180), KEPL3 (0.0222), LOGN3 (0.0350), LUPA3 (0.0653), MGEL4 (0.0776), MBRF3 (0.1203), BMEB4 (0.0596), LEVE3 (0.0607), MTSA4 (0.0477), BEEF3 (0.0236), MNDL3 (0.0365), PATI3 (0.1109), PETR4 (0.0653), PRIO3 (0.0519), PTNT4 (0.0298), PLAS3 (0.0683), PTBL3 (0.0434), POSI3 (0.0668), RSUL4 (0.1654), SMTO3 (0.0267), SHUL4 (0.0273), SIMH3 (0.0231), SLCE3 (0.0791), AHEB3 (0.0282), SYNE3 (0.0266), TAEE11 (0.0527), TASA4 (0.0480), TECN3 (0.0651), TKNO4 (0.0675), VIVT3 (0.0219), LAND3 (0.1591), LUXM4 (0.1366), UNIP6 (0.1124), VIVR3 (0.0454), MWET4 (0.0793), WIZC3 (0.0249), WLMM4 (0.0354)"
2022-01-18,2022-01-19,66,"EALT4 (0.0636), AALR3 (0.0523), AVLL3 (0.0588), AMBP3 (0.0284), AZEV4 (0.0234), BRAP4 (0.0194), AGRO3 (0.0198), BRKM5 (0.1257), CLSC4 (0.0352), CMIG4 (0.0173), CTAX3 (0.0167), CPLE3 (0.0269), CRPG5 (0.0513), EKTR4 (0.0202), EPAR3 (0.0199), EMBJ3 (0.1028), ENMT3 (0.3027), EQPA3 (0.1017), ESTR4 (0.1064), ETER3 (0.0542), EUCA4 (0.0219), FHER3 (0.1390), FESA4 (0.1012), FRAS3 (0.0519), GGBR4 (0.0332), GOAU4 (0.0299), GRND3 (0.0227), HBTS5 (0.0293), INEP3 (0.0352), KEPL3 (0.0245), LOGN3 (0.0188), LUPA3 (0.0634), MGEL4 (0.0729), MBRF3 (0.1120), BMEB4 (0.0638), LEVE3 (0.0628), MTSA4 (0.0518), MNDL3 (0.0403), PATI3 (0.0946), PETR4 (0.0673), PRIO3 (0.0596), PTNT4 (0.0331), PLAS3 (0.0703), PTBL3 (0.0411), POSI3 (0.0621), RSUL4 (0.1669), SMTO3 (0.0236), SHUL4 (0.0285), SIMH3 (0.0168), SLCE3 (0.0737), AHEB3 (0.0281), SYNE3 (0.0239), TAEE11 (0.0451), TASA4 (0.0413), TECN3 (0.0655), TKNO4 (0.0674), VIVT3 (0.0227), LAND3 (0.1449), LUXM4 (0.1337), UNIP6 (0.1118), USIM5 (0.0216), VIVR3 (0.0429), VULC3 (0.0156), MWET4 (0.0691), WIZC3 (0.0194), WLMM4 (0.0377)"
2022-01-19,2022-01-20,66,"EALT4 (0.0702), AALR3 (0.0516), AVLL3 (0.0616), AMBP3 (0.0314), AZEV4 (0.0273), BRAP4 (0.0282), AGRO3 (0.0243), BRKM5 (0.1259), CLSC4 (0.0355), CTAX3 (0.0216), CPLE3 (0.0334), CRPG5 (0.0525), EKTR4 (0.0214), EPAR3 (0.0236), EMBJ3 (0.1006), ENMT3 (0.3027), EQPA3 (0.1012), ESTR4 (0.1051), ETER3 (0.0576), EUCA4 (0.0244), FHER3 (0.1409), FESA4 (0.1036), FRAS3 (0.0521), GGBR4 (0.0416), GOAU4 (0.0391), GRND3 (0.0255), HBTS5 (0.0296), INEP3 (0.0304), RANI3 (0.0213), KEPL3 (0.0283), LOGN3 (0.0209), LUPA3 (0.0668), MGEL4 (0.0739), MBRF3 (0.1128), BMEB4 (0.0609), LEVE3 (0.0658), MTSA4 (0.0535), MNDL3 (0.0419), PATI3 (0.1076), PETR4 (0.0752), PRIO3 (0.0553), PTNT4 (0.0306), PLAS3 (0.0676), PTBL3 (0.0400), POSI3 (0.0644), RSUL4 (0.1653), SMTO3 (0.0358), SHUL4 (0.0272), SIMH3 (0.0201), SLCE3 (0.0778), AHEB3 (0.0281), SYNE3 (0.0258), TAEE11 (0.0459), TASA4 (0.0337), TECN3 (0.0656), TKNO4 (0.0673), VIVT3 (0.0290), LAND3 (0.1482), LUXM4 (0.1269), UNIP6 (0.1141), USIM5 (0.0318), VALE3 (0.0207), VIVR3 (0.0439), MWET4 (0.0736), WIZC3 (0.0223), WLMM4 (0.0337)"
2022-01-20,2022-01-21,66,"EALT4 (0.0695), AALR3 (0.0612), AVLL3 (0.0610), AMBP3 (0.0394), AZEV4 (0.0277), AZZA3 (0.0235), BRAP4 (0.0241), AGRO3 (0.0185), BRKM5 (0.1251), CLSC4 (0.0299), CTAX3 (0.0235), CPLE3 (0.0320), CSAN3 (0.0183), CRPG5 (0.0423), EKTR4 (0.0187), EPAR3 (0.0230), EMBJ3 (0.0943), ENMT3 (0.3024), EQPA3 (0.1011), ESTR4 (0.1110), ETER3 (0.0576), EUCA4 (0.0270), FHER3 (0.1355), FESA4 (0.1076), FRAS3 (0.0623), GGBR4 (0.0321), GOAU4 (0.0308), GRND3 (0.0304), HBTS5 (0.0347), INEP3 (0.0245), KEPL3 (0.0368), LOGN3 (0.0216), LUPA3 (0.0636), MGEL4 (0.0681), MBRF3 (0.1112), BMEB4 (0.0654), LEVE3 (0.0644), MTSA4 (0.0494), MNDL3 (0.0443), PATI3 (0.1076), PETR4 (0.0747), PRIO3 (0.0586), PTNT4 (0.0291), PLAS3 (0.0701), PTBL3 (0.0436), POSI3 (0.0678), RSUL4 (0.1643), SMTO3 (0.0389), SHUL4 (0.0287), SIMH3 (0.0252), SLCE3 (0.0737), AHEB3 (0.0280), SYNE3 (0.0252), TAEE11 (0.0546), TASA4 (0.0380), TECN3 (0.0705), TKNO4 (0.0583), VIVT3 (0.0282), LAND3 (0.1483), LUXM4 (0.1202), UNIP6 (0.1093), USIM5 (0.0280), VIVR3 (0.0473), MWET4 (0.0749), WIZC3 (0.0280), WLMM4 (0.0332)"
2022-01-21,2022-01-24,66,"EALT4 (0.0760), AALR3 (0.0529), AVLL3 (0.0564), AMBP3 (0.0380), AZEV4 (0.0279), AZZA3 (0.0226), BRAP4 (0.0287), BRKM5 (0.1225), CLSC4 (0.0365), CMIG4 (0.0212), CTAX3 (0.0212), CPLE3 (0.0308), CSAN3 (0.0215), CRPG5 (0.0325), DEXP3 (0.0195), EKTR4 (0.0200), EPAR3 (0.0266), EMBJ3 (0.0972), ENMT3 (0.3075), EQPA3 (0.1031), ESTR4 (0.1127), ETER3 (0.0605), EUCA4 (0.0221), FHER3 (0.1311), FESA4 (0.1046), FRAS3 (0.0564), GGBR4 (0.0363), GOAU4 (0.0361), GRND3 (0.0323), HBTS5 (0.0353), KEPL3 (0.0284), LOGN3 (0.0216), LUPA3 (0.0671), MGEL4 (0.0734), MBRF3 (0.1134), BMEB4 (0.0612), LEVE3 (0.0618), MTSA4 (0.0529), MNDL3 (0.0463), PATI3 (0.1150), PETR4 (0.0832), PRIO3 (0.0616), PTNT4 (0.0240), PLAS3 (0.0697), PTBL3 (0.0490), POSI3 (0.0695), RSUL4 (0.1665), SMTO3 (0.0368), SHUL4 (0.0279), SIMH3 (0.0325), SLCE3 (0.0709), SYNE3 (0.0208), TAEE11 (0.0573), TASA4 (0.0380), TECN3 (0.0676), TKNO4 (0.0690), VIVT3 (0.0261), LAND3 (0.1491), LUXM4 (0.1200), UNIP6 (0.1082), USIM5 (0.0285), VIVR3 (0.0463), VULC3 (0.0229), MWET4 (0.0759), WIZC3 (0.0264), WLMM4 (0.0271)"
