Data_Rebalanceamento,Data_Aplicacao,Turnover,Custo_Transacao
2022-01-10,2022-01-11,0.5,0.0
2022-01-11,2022-01-12,0.44908144164089947,0.0
2022-01-12,2022-01-13,0.40845141574367994,0.0
2022-01-13,2022-01-14,0.40040212016553256,0.0
2022-01-14,2022-01-17,0.39857946176117054,0.0
2022-01-17,2022-01-18,0.3445840175337612,0.0
2022-01-18,2022-01-19,0.2645453164707743,0.0
2022-01-19,2022-01-20,0.38976997964023663,0.0
2022-01-20,2022-01-21,0.29555541644468686,0.0
2022-01-21,2022-01-24,0.5203825832296952,0.0
2022-01-24,2022-01-25,0.4576376425578215,0.0
2022-01-25,2022-01-26,0.49320915449730995,0.0
2022-01-26,2022-01-27,0.5203877748841295,0.0
2022-01-27,2022-01-28,0.4268500689688437,0.0
2022-01-28,2022-01-31,0.4301703343971516,0.0
2022-01-31,2022-02-01,0.42651579396923955,0.0
2022-02-01,2022-02-02,0.4305715712661981,0.0
2022-02-02,2022-02-03,0.5865395804808757,0.0
2022-02-03,2022-02-04,0.434235539852766,0.0
2022-02-04,2022-02-07,0.41659862824158944,0.0
2022-02-07,2022-02-08,0.39709838196632186,0.0
2022-02-08,2022-02-09,0.4921844875685135,0.0
2022-02-09,2022-02-10,0.5583899594846169,0.0
2022-02-10,2022-02-11,0.5064043430880147,0.0
2022-02-11,2022-02-14,0.41560281172439506,0.0
2022-02-14,2022-02-15,0.36209119367858145,0.0
2022-02-15,2022-02-16,0.34345852400662125,0.0
2022-02-16,2022-02-17,0.5434623013499629,0.0
2022-02-17,2022-02-18,0.3666310896475702,0.0
2022-02-18,2022-02-21,0.5338078512044043,0.0
2022-02-21,2022-02-22,0.4659359040191218,0.0
2022-02-22,2022-02-23,0.5427208593139263,0.0
2022-02-23,2022-02-24,0.5416141558315045,0.0
2022-02-24,2022-02-25,0.38019183654522204,0.0
2022-02-25,2022-03-02,0.45681476177414637,0.0
2022-03-02,2022-03-03,0.548227709834825,0.0
2022-03-03,2022-03-04,0.45934413333922974,0.0
2022-03-04,2022-03-07,0.3417314275834815,0.0
2022-03-07,2022-03-08,0.3658571099254606,0.0
2022-03-08,2022-03-09,0.4116439046339691,0.0
2022-03-09,2022-03-10,0.48322304099670227,0.0
2022-03-10,2022-03-11,0.4610518542078723,0.0
2022-03-11,2022-03-14,0.5106183997725421,0.0
2022-03-14,2022-03-15,0.4765536737152195,0.0
2022-03-15,2022-03-16,0.48256508239344986,0.0
2022-03-16,2022-03-17,0.5308872318925488,0.0
2022-03-17,2022-03-18,0.5839939515491521,0.0
2022-03-18,2022-03-21,0.6881642666383467,0.0
2022-03-21,2022-03-22,0.48769733612671007,0.0
2022-03-22,2022-03-23,0.5042565104840379,0.0
2022-03-23,2022-03-24,0.3394809253609496,0.0
2022-03-24,2022-03-25,0.4809934295146948,0.0
2022-03-25,2022-03-28,0.4360832111304487,0.0
2022-03-28,2022-03-29,0.5898278553496983,0.0
2022-03-29,2022-03-30,0.5165675100204095,0.0
2022-03-30,2022-03-31,0.5232769418206411,0.0
2022-03-31,2022-04-01,0.3731129908522841,0.0
2022-04-01,2022-04-04,0.48821516471531967,0.0
2022-04-04,2022-04-05,0.45128464136974583,0.0
2022-04-05,2022-04-06,0.6673857908322285,0.0
2022-04-06,2022-04-07,0.46388651562083716,0.0
2022-04-07,2022-04-08,0.44400802359589897,0.0
2022-04-08,2022-04-11,0.5297202127038664,0.0
2022-04-11,2022-04-12,0.5165019890615803,0.0
2022-04-12,2022-04-13,0.49458252666332614,0.0
2022-04-13,2022-04-14,0.428022935811219,0.0
2022-04-14,2022-04-18,0.3603411816730176,0.0
2022-04-18,2022-04-19,0.4007152172529016,0.0
2022-04-19,2022-04-20,0.4756669657537424,0.0
2022-04-20,2022-04-22,0.5079299786344549,0.0
2022-04-22,2022-04-25,0.5168012343755962,0.0
2022-04-25,2022-04-26,0.38972919189069316,0.0
2022-04-26,2022-04-27,0.6451668594086801,0.0
2022-04-27,2022-04-28,0.39888265984355986,0.0
2022-04-28,2022-04-29,0.5663151773754418,0.0
2022-04-29,2022-05-02,0.5706575409160977,0.0
2022-05-02,2022-05-03,0.5594263397010403,0.0
2022-05-03,2022-05-04,0.5745109072539316,0.0
2022-05-04,2022-05-05,0.5310383145275801,0.0
2022-05-05,2022-05-06,0.5766015548227392,0.0
2022-05-06,2022-05-09,0.481846387537482,0.0
2022-05-09,2022-05-10,0.4507254481279187,0.0
2022-05-10,2022-05-11,0.3393926277717825,0.0
2022-05-11,2022-05-12,0.46388601254921974,0.0
2022-05-12,2022-05-13,0.4089636478976698,0.0
2022-05-13,2022-05-16,0.3094580667432518,0.0
2022-05-16,2022-05-17,0.16449517851696477,0.0
2022-05-17,2022-05-18,0.3410589539355537,0.0
2022-05-18,2022-05-19,0.4654113956362385,0.0
2022-05-19,2022-05-20,0.4777896035109399,0.0
2022-05-20,2022-05-23,0.4442199691045451,0.0
2022-05-23,2022-05-24,0.5734384748632535,0.0
2022-05-24,2022-05-25,0.4817702535421279,0.0
2022-05-25,2022-05-26,0.3970980147047375,0.0
2022-05-26,2022-05-27,0.5992034646864492,0.0
2022-05-27,2022-05-30,0.5110578138209393,0.0
2022-05-30,2022-05-31,0.5683208529258911,0.0
2022-05-31,2022-06-01,0.42362303828212633,0.0
2022-06-01,2022-06-02,0.4593744098096841,0.0
2022-06-02,2022-06-03,0.4672328723676201,0.0
2022-06-03,2022-06-06,0.5955652850290701,0.0
2022-06-06,2022-06-07,0.6681735393259339,0.0
2022-06-07,2022-06-08,0.5885052837189367,0.0
2022-06-08,2022-06-09,0.576681188136578,0.0
2022-06-09,2022-06-10,0.3905081725411074,0.0
2022-06-10,2022-06-13,0.373526821329961,0.0
2022-06-13,2022-06-14,0.2711526386823636,0.0
2022-06-14,2022-06-15,0.40799226426667135,0.0
2022-06-15,2022-06-17,0.4006110399802069,0.0
2022-06-17,2022-06-20,0.5185529331745404,0.0
2022-06-20,2022-06-21,0.5602379942752425,0.0
2022-06-21,2022-06-22,0.23197738080946947,0.0
2022-06-22,2022-06-23,0.5752038485254756,0.0
2022-06-23,2022-06-24,0.4744231039845144,0.0
2022-06-24,2022-06-27,0.4517965893266448,0.0
2022-06-27,2022-06-28,0.5614825484855319,0.0
2022-06-28,2022-06-29,0.518508376409851,0.0
2022-06-29,2022-06-30,0.5999261899981281,0.0
2022-06-30,2022-07-01,0.526570161230108,0.0
2022-07-01,2022-07-04,0.6025138105426938,0.0
2022-07-04,2022-07-05,0.49428036197670666,0.0
2022-07-05,2022-07-06,0.4567337375545093,0.0
2022-07-06,2022-07-07,0.4042236091397351,0.0
2022-07-07,2022-07-08,0.3711801336259015,0.0
2022-07-08,2022-07-11,0.37001730867546356,0.0
2022-07-11,2022-07-12,0.2885836272058191,0.0
2022-07-12,2022-07-13,0.4813427442407672,0.0
2022-07-13,2022-07-14,0.5914404913527236,0.0
2022-07-14,2022-07-15,0.4306717214169151,0.0
2022-07-15,2022-07-18,0.7025214110433632,0.0
2022-07-18,2022-07-19,0.5136710122754434,0.0
2022-07-19,2022-07-20,0.4528903886955032,0.0
2022-07-20,2022-07-21,0.31736925382747183,0.0
2022-07-21,2022-07-22,0.5902849665234445,0.0
2022-07-22,2022-07-25,0.3155498292261896,0.0
2022-07-25,2022-07-26,0.6035823623841319,0.0
2022-07-26,2022-07-27,0.38103666102259276,0.0
2022-07-27,2022-07-28,0.7776773232720788,0.0
2022-07-28,2022-07-29,0.5420713246678036,0.0
2022-07-29,2022-08-01,0.49725017595933785,0.0
2022-08-01,2022-08-02,0.48523399239116205,0.0
2022-08-02,2022-08-03,0.5179215408381156,0.0
2022-08-03,2022-08-04,0.468232977555687,0.0
2022-08-04,2022-08-05,0.3740676635776573,0.0
2022-08-05,2022-08-08,0.36187732740123196,0.0
2022-08-08,2022-08-09,0.38876258170416955,0.0
2022-08-09,2022-08-10,0.4857534739988972,0.0
2022-08-10,2022-08-11,0.5041585123580606,0.0
2022-08-11,2022-08-12,0.35509838587547854,0.0
2022-08-12,2022-08-15,0.5531127507620002,0.0
2022-08-15,2022-08-16,0.5257092184928371,0.0
2022-08-16,2022-08-17,0.5053201073941812,0.0
2022-08-17,2022-08-18,0.36021873147156297,0.0
2022-08-18,2022-08-19,0.3364644321242908,0.0
2022-08-19,2022-08-22,0.3191585318834752,0.0
2022-08-22,2022-08-23,0.5295889597390122,0.0
2022-08-23,2022-08-24,0.4112172361750064,0.0
2022-08-24,2022-08-25,0.4621337513756349,0.0
2022-08-25,2022-08-26,0.5135877589794302,0.0
2022-08-26,2022-08-29,0.5242136244579014,0.0
2022-08-29,2022-08-30,0.6247647581418827,0.0
2022-08-30,2022-08-31,0.45838075663984235,0.0
2022-08-31,2022-09-01,0.40504335793490065,0.0
2022-09-01,2022-09-02,0.45423621985647444,0.0
2022-09-02,2022-09-05,0.4306937652566828,0.0
2022-09-05,2022-09-06,0.5401643999385319,0.0
2022-09-06,2022-09-08,0.45796218545685735,0.0
2022-09-08,2022-09-09,0.4521481545212134,0.0
2022-09-09,2022-09-12,0.4409900784083556,0.0
2022-09-12,2022-09-13,0.346886355541736,0.0
2022-09-13,2022-09-14,0.40770746186123147,0.0
2022-09-14,2022-09-15,0.4488327573207703,0.0
2022-09-15,2022-09-16,0.45345866402994955,0.0
2022-09-16,2022-09-19,0.38670978809348017,0.0
2022-09-19,2022-09-20,0.19149260416252428,0.0
2022-09-20,2022-09-21,0.5267580355810071,0.0
2022-09-21,2022-09-22,0.4750611590710169,0.0
2022-09-22,2022-09-23,0.4767000548261767,0.0
2022-09-23,2022-09-26,0.26326274080449197,0.0
2022-09-26,2022-09-27,0.28282993149464186,0.0
2022-09-27,2022-09-28,0.3634334883609663,0.0
2022-09-28,2022-09-29,0.6111387701652518,0.0
2022-09-29,2022-09-30,0.5702687469433853,0.0
2022-09-30,2022-10-03,0.46394913482239075,0.0
2022-10-03,2022-10-04,0.29386004044429026,0.0
2022-10-04,2022-10-05,0.4408225408451171,0.0
2022-10-05,2022-10-06,0.509634750495447,0.0
2022-10-06,2022-10-07,0.3308120611359744,0.0
2022-10-07,2022-10-10,0.5729115426184183,0.0
2022-10-10,2022-10-11,0.47028333596734584,0.0
2022-10-11,2022-10-13,0.43031576640937597,0.0
2022-10-13,2022-10-14,0.5512796192778155,0.0
2022-10-14,2022-10-17,0.43097597990667946,0.0
2022-10-17,2022-10-18,0.5028263461429161,0.0
2022-10-18,2022-10-19,0.593033802186864,0.0
2022-10-19,2022-10-20,0.4267148207829607,0.0
2022-10-20,2022-10-21,0.4193747108560354,0.0
2022-10-21,2022-10-24,0.38982934674487296,0.0
2022-10-24,2022-10-25,0.39175037428790377,0.0
2022-10-25,2022-10-26,0.521308851275771,0.0
2022-10-26,2022-10-27,0.33705745823433253,0.0
2022-10-27,2022-10-28,0.5025592537784289,0.0
2022-10-28,2022-10-31,0.46958925952915254,0.0
2022-10-31,2022-11-01,0.4189850209066115,0.0
2022-11-01,2022-11-03,0.4780056761711645,0.0
2022-11-03,2022-11-04,0.5567716429028955,0.0
2022-11-04,2022-11-07,0.2755721749312796,0.0
2022-11-07,2022-11-08,0.4923084458068254,0.0
2022-11-08,2022-11-09,0.5399553311515228,0.0
2022-11-09,2022-11-10,0.5664217024926639,0.0
2022-11-10,2022-11-11,0.4800486857022129,0.0
2022-11-11,2022-11-14,0.420212617092651,0.0
2022-11-14,2022-11-16,0.4112653773685545,0.0
2022-11-16,2022-11-17,0.34693198938791103,0.0
2022-11-17,2022-11-18,0.37265728263752307,0.0
2022-11-18,2022-11-21,0.31755506779773046,0.0
2022-11-21,2022-11-22,0.33146357852979,0.0
2022-11-22,2022-11-23,0.4749162716399619,0.0
2022-11-23,2022-11-24,0.49501168339001483,0.0
2022-11-24,2022-11-25,0.32649218003900193,0.0
2022-11-25,2022-11-28,0.32072353536555065,0.0
2022-11-28,2022-11-29,0.44799427589833213,0.0
2022-11-29,2022-11-30,0.44521174694427146,0.0
2022-11-30,2022-12-01,0.3596688450437009,0.0
2022-12-01,2022-12-02,0.4379925977324904,0.0
2022-12-02,2022-12-05,0.40975731883377003,0.0
2022-12-05,2022-12-06,0.4134629852467919,0.0
2022-12-06,2022-12-07,0.41198868922298426,0.0
2022-12-07,2022-12-08,0.39456345039170704,0.0
2022-12-08,2022-12-09,0.4519290972519855,0.0
2022-12-09,2022-12-12,0.4899122117911443,0.0
2022-12-12,2022-12-13,0.42070159623150816,0.0
2022-12-13,2022-12-14,0.5199025514276882,0.0
2022-12-14,2022-12-15,0.3285821692287424,0.0
2022-12-15,2022-12-16,0.5483073908032019,0.0
2022-12-16,2022-12-19,0.5105236807457916,0.0
2022-12-19,2022-12-20,0.4033917489377027,0.0
2022-12-20,2022-12-21,0.3944960086078035,0.0
2022-12-21,2022-12-22,0.3117367286183305,0.0
2022-12-22,2022-12-23,0.3380148391140857,0.0
2022-12-23,2022-12-26,0.4961432180296519,0.0
2022-12-26,2022-12-27,0.21591568324718516,0.0
2022-12-27,2022-12-28,0.3733578983655736,0.0
2022-12-28,2022-12-29,0.4697256561821467,0.0
2022-12-29,2023-01-02,0.4349078422792617,0.0
2023-01-02,2023-01-03,0.36099913343597284,0.0
2023-01-03,2023-01-04,0.4504547832632062,0.0
2023-01-04,2023-01-05,0.3681737620263037,0.0
2023-01-05,2023-01-06,0.3985844224891738,0.0
2023-01-06,2023-01-09,0.26976539771646624,0.0
2023-01-09,2023-01-10,0.25354746694423974,0.0
2023-01-10,2023-01-11,0.3758742725687896,0.0
2023-01-11,2023-01-12,0.2797171073759927,0.0
2023-01-12,2023-01-13,0.2253428253023917,0.0
2023-01-13,2023-01-16,0.41719234566139884,0.0
2023-01-16,2023-01-17,0.34610487806434215,0.0
2023-01-17,2023-01-18,0.39938684812980874,0.0
2023-01-18,2023-01-19,0.42022393549589665,0.0
2023-01-19,2023-01-20,0.28530017884998027,0.0
2023-01-20,2023-01-23,0.3309850629516618,0.0
2023-01-23,2023-01-24,0.3452436286019446,0.0
2023-01-24,2023-01-25,0.4656983452816927,0.0
2023-01-25,2023-01-26,0.400435268624348,0.0
2023-01-26,2023-01-27,0.27146131367277154,0.0
2023-01-27,2023-01-30,0.6356823677704562,0.0
2023-01-30,2023-01-31,0.546223962604808,0.0
2023-01-31,2023-02-01,0.39404453492672303,0.0
2023-02-01,2023-02-02,0.3713896452149691,0.0
2023-02-02,2023-02-03,0.42215417212515294,0.0
2023-02-03,2023-02-06,0.27475666331576215,0.0
2023-02-06,2023-02-07,0.366975310002939,0.0
2023-02-07,2023-02-08,0.3304426199658207,0.0
2023-02-08,2023-02-09,0.33062011324831997,0.0
2023-02-09,2023-02-10,0.39291903124155547,0.0
2023-02-10,2023-02-13,0.5386115340945918,0.0
2023-02-13,2023-02-14,0.3037355450386522,0.0
2023-02-14,2023-02-15,0.5824873535493353,0.0
2023-02-15,2023-02-16,0.39984988927383874,0.0
2023-02-16,2023-02-17,0.4297790575557331,0.0
2023-02-17,2023-02-22,0.45390934918479253,0.0
2023-02-22,2023-02-23,0.44240723806253746,0.0
2023-02-23,2023-02-24,0.3919086018226906,0.0
2023-02-24,2023-02-27,0.48905161696764143,0.0
2023-02-27,2023-02-28,0.4476083920104078,0.0
2023-02-28,2023-03-01,0.3319299802742436,0.0
2023-03-01,2023-03-02,0.32565368315759335,0.0
2023-03-02,2023-03-03,0.43555894242536386,0.0
2023-03-03,2023-03-06,0.4546347060845628,0.0
2023-03-06,2023-03-07,0.5202097099264658,0.0
2023-03-07,2023-03-08,0.39822566801601966,0.0
2023-03-08,2023-03-09,0.34174058662154005,0.0
2023-03-09,2023-03-10,0.32030452462475445,0.0
2023-03-10,2023-03-13,0.36240303127877993,0.0
2023-03-13,2023-03-14,0.6051677578246981,0.0
2023-03-14,2023-03-15,0.5970014370360583,0.0
2023-03-15,2023-03-16,0.31015182967833876,0.0
