Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-01-10,2022-01-11,117.49605298042297
2022-01-11,2022-01-12,98.86711716651917
2022-01-12,2022-01-13,111.38720369338989
2022-01-13,2022-01-14,90.71367812156677
2022-01-14,2022-01-17,96.41577768325806
2022-01-17,2022-01-18,111.51265716552734
2022-01-18,2022-01-19,101.90917825698853
2022-01-19,2022-01-20,102.35883283615112
2022-01-20,2022-01-21,107.97338581085205
2022-01-21,2022-01-24,96.07721829414368
2022-01-24,2022-01-25,94.33700513839722
2022-01-25,2022-01-26,95.84052157402039
2022-01-26,2022-01-27,108.97631311416626
2022-01-27,2022-01-28,105.48825430870056
2022-01-28,2022-01-31,105.78612184524536
2022-01-31,2022-02-01,91.97556734085083
2022-02-01,2022-02-02,109.76801180839539
2022-02-02,2022-02-03,95.68831872940063
2022-02-03,2022-02-04,93.1384551525116
2022-02-04,2022-02-07,99.91019487380981
2022-02-07,2022-02-08,105.93981266021729
2022-02-08,2022-02-09,98.4725866317749
2022-02-09,2022-02-10,91.09378433227539
2022-02-10,2022-02-11,94.39477443695068
2022-02-11,2022-02-14,90.51051378250122
2022-02-14,2022-02-15,132.5405135154724
2022-02-15,2022-02-16,101.7198371887207
2022-02-16,2022-02-17,110.21019124984741
2022-02-17,2022-02-18,101.67370367050171
2022-02-18,2022-02-21,106.81373691558838
2022-02-21,2022-02-22,116.1452887058258
2022-02-22,2022-02-23,110.77684569358826
2022-02-23,2022-02-24,90.23220324516296
2022-02-24,2022-02-25,97.109543800354
2022-02-25,2022-03-02,104.04533290863037
2022-03-02,2022-03-03,83.00270056724548
2022-03-03,2022-03-04,102.19700312614441
2022-03-04,2022-03-07,97.99872207641602
2022-03-07,2022-03-08,94.2246482372284
2022-03-08,2022-03-09,80.04830527305603
2022-03-09,2022-03-10,98.92321681976318
2022-03-10,2022-03-11,88.34705948829651
2022-03-11,2022-03-14,91.67190027236938
2022-03-14,2022-03-15,75.75570964813232
2022-03-15,2022-03-16,84.95755243301392
2022-03-16,2022-03-17,101.99532079696655
2022-03-17,2022-03-18,107.33127641677856
2022-03-18,2022-03-21,94.78602647781372
2022-03-21,2022-03-22,104.29676365852356
2022-03-22,2022-03-23,90.28827977180481
2022-03-23,2022-03-24,99.31131529808044
2022-03-24,2022-03-25,114.10953688621521
2022-03-25,2022-03-28,95.52297782897949
2022-03-28,2022-03-29,94.23225545883179
2022-03-29,2022-03-30,97.08721590042114
2022-03-30,2022-03-31,103.23663067817688
2022-03-31,2022-04-01,117.16072750091553
2022-04-01,2022-04-04,120.97264456748962
2022-04-04,2022-04-05,98.28688549995422
2022-04-05,2022-04-06,93.12009716033936
2022-04-06,2022-04-07,106.00989270210266
2022-04-07,2022-04-08,95.44299530982971
2022-04-08,2022-04-11,87.00415658950806
2022-04-11,2022-04-12,90.64812898635864
2022-04-12,2022-04-13,92.2368471622467
2022-04-13,2022-04-14,105.09625720977783
2022-04-14,2022-04-18,78.14693832397461
2022-04-18,2022-04-19,98.99990320205688
2022-04-19,2022-04-20,102.58273196220398
2022-04-20,2022-04-22,103.15142631530762
2022-04-22,2022-04-25,103.94564437866211
2022-04-25,2022-04-26,80.68647813796997
2022-04-26,2022-04-27,121.65648293495178
2022-04-27,2022-04-28,91.92754173278809
2022-04-28,2022-04-29,100.12511229515076
2022-04-29,2022-05-02,79.46967196464539
2022-05-02,2022-05-03,112.26206374168396
2022-05-03,2022-05-04,102.87773013114929
2022-05-04,2022-05-05,104.65997290611267
2022-05-05,2022-05-06,115.43298292160034
2022-05-06,2022-05-09,114.77048540115356
2022-05-09,2022-05-10,98.69403767585754
