Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-01-10,2022-01-11,0.029076099395751953
2022-01-11,2022-01-12,0.050632476806640625
2022-01-12,2022-01-13,0.048148393630981445
2022-01-13,2022-01-14,0.06307792663574219
2022-01-14,2022-01-17,0.049745798110961914
2022-01-17,2022-01-18,0.04607820510864258
2022-01-18,2022-01-19,0.05353975296020508
2022-01-19,2022-01-20,0.04593205451965332
2022-01-20,2022-01-21,0.05562186241149902
2022-01-21,2022-01-24,0.024225950241088867
2022-01-24,2022-01-25,0.024269580841064453
2022-01-25,2022-01-26,0.024597883224487305
2022-01-26,2022-01-27,0.043821096420288086
2022-01-27,2022-01-28,0.05507493019104004
2022-01-28,2022-01-31,0.0690755844116211
2022-01-31,2022-02-01,0.04312562942504883
2022-02-01,2022-02-02,0.028378009796142578
2022-02-02,2022-02-03,0.02776503562927246
2022-02-03,2022-02-04,0.028171300888061523
2022-02-04,2022-02-07,0.05537581443786621
2022-02-07,2022-02-08,0.04441714286804199
2022-02-08,2022-02-09,0.04479694366455078
2022-02-09,2022-02-10,0.057839155197143555
2022-02-10,2022-02-11,0.02839803695678711
2022-02-11,2022-02-14,0.024765968322753906
2022-02-14,2022-02-15,0.02478957176208496
2022-02-15,2022-02-16,0.024715662002563477
2022-02-16,2022-02-17,0.0242922306060791
2022-02-17,2022-02-18,0.04574155807495117
2022-02-18,2022-02-21,0.05483078956604004
2022-02-21,2022-02-22,0.025897502899169922
2022-02-22,2022-02-23,0.025376081466674805
2022-02-23,2022-02-24,0.025376081466674805
2022-02-24,2022-02-25,0.02526998519897461
2022-02-25,2022-03-02,0.025404691696166992
2022-03-02,2022-03-03,0.0253143310546875
2022-03-03,2022-03-04,0.02562546730041504
2022-03-04,2022-03-07,0.025347232818603516
2022-03-07,2022-03-08,0.025440454483032227
2022-03-08,2022-03-09,0.025045156478881836
2022-03-09,2022-03-10,0.02525019645690918
2022-03-10,2022-03-11,0.0252072811126709
2022-03-11,2022-03-14,0.0257260799407959
2022-03-14,2022-03-15,0.025360584259033203
2022-03-15,2022-03-16,0.024986743927001953
2022-03-16,2022-03-17,0.025060415267944336
2022-03-17,2022-03-18,0.02512216567993164
2022-03-18,2022-03-21,0.02499699592590332
2022-03-21,2022-03-22,0.024911165237426758
2022-03-22,2022-03-23,0.025170087814331055
2022-03-23,2022-03-24,0.02500176429748535
2022-03-24,2022-03-25,0.025208234786987305
2022-03-25,2022-03-28,0.024476289749145508
2022-03-28,2022-03-29,0.025228023529052734
2022-03-29,2022-03-30,0.025547027587890625
2022-03-30,2022-03-31,0.025040388107299805
2022-03-31,2022-04-01,0.025321483612060547
2022-04-01,2022-04-04,0.02533698081970215
2022-04-04,2022-04-05,0.0248105525970459
2022-04-05,2022-04-06,0.02498340606689453
2022-04-06,2022-04-07,0.025007963180541992
2022-04-07,2022-04-08,0.025545835494995117
2022-04-08,2022-04-11,0.025211334228515625
2022-04-11,2022-04-12,0.025075435638427734
