Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-01-10,2022-01-11,211.02949476242063
2022-01-11,2022-01-12,205.6885347366333
2022-01-12,2022-01-13,198.36958360672
2022-01-13,2022-01-14,247.21009469032288
2022-01-14,2022-01-17,221.39040994644162
2022-01-17,2022-01-18,222.50854754447937
2022-01-18,2022-01-19,212.77639079093933
2022-01-19,2022-01-20,209.62737703323364
2022-01-20,2022-01-21,211.68045854568481
2022-01-21,2022-01-24,208.19543957710263
2022-01-24,2022-01-25,202.83398818969727
2022-01-25,2022-01-26,208.01114964485168
2022-01-26,2022-01-27,199.2701232433319
2022-01-27,2022-01-28,209.94517755508426
2022-01-28,2022-01-31,209.27898120880127
2022-01-31,2022-02-01,208.50492787361145
2022-02-01,2022-02-02,237.73427534103396
2022-02-02,2022-02-03,209.8628008365631
2022-02-03,2022-02-04,213.390971660614
2022-02-04,2022-02-07,207.81433320045468
2022-02-07,2022-02-08,215.9649224281311
2022-02-08,2022-02-09,198.3331220149994
2022-02-09,2022-02-10,197.21068620681763
2022-02-10,2022-02-11,190.77560472488403
2022-02-11,2022-02-14,205.0992558002472
2022-02-14,2022-02-15,202.65646982192996
2022-02-15,2022-02-16,201.01147890090942
2022-02-16,2022-02-17,199.58528017997745
2022-02-17,2022-02-18,183.33337426185608
2022-02-18,2022-02-21,201.90789198875427
2022-02-21,2022-02-22,210.80180549621585
2022-02-22,2022-02-23,204.36627840995789
2022-02-23,2022-02-24,187.14062595367432
2022-02-24,2022-02-25,216.55174565315247
2022-02-25,2022-03-02,201.59488415718081
2022-03-02,2022-03-03,208.50914430618286
2022-03-03,2022-03-04,187.34042024612427
2022-03-04,2022-03-07,209.96827054023743
2022-03-07,2022-03-08,229.02251172065732
2022-03-08,2022-03-09,222.9994511604309
2022-03-09,2022-03-10,216.55154275894162
2022-03-10,2022-03-11,223.05152106285092
2022-03-11,2022-03-14,195.94862341880798
2022-03-14,2022-03-15,209.6963195800781
2022-03-15,2022-03-16,207.5593922138214
2022-03-16,2022-03-17,225.0325140953064
2022-03-17,2022-03-18,216.0824291706085
2022-03-18,2022-03-21,215.94794487953186
2022-03-21,2022-03-22,210.12042665481567
2022-03-22,2022-03-23,210.80347442626956
2022-03-23,2022-03-24,199.6414365768433
2022-03-24,2022-03-25,212.8257131576538
2022-03-25,2022-03-28,194.5032229423523
2022-03-28,2022-03-29,205.82796812057492
2022-03-29,2022-03-30,193.26027607917786
2022-03-30,2022-03-31,202.62816882133484
2022-03-31,2022-04-01,202.80961346626282
2022-04-01,2022-04-04,199.12684297561646
2022-04-04,2022-04-05,193.8640916347504
2022-04-05,2022-04-06,198.06028032302856
2022-04-06,2022-04-07,193.7214074134827
2022-04-07,2022-04-08,194.97449254989624
2022-04-08,2022-04-11,194.6591453552246
2022-04-11,2022-04-12,192.55113744735718
2022-04-12,2022-04-13,198.34209537506104
2022-04-13,2022-04-14,195.6183021068573
2022-04-14,2022-04-18,183.65234160423282
2022-04-18,2022-04-19,181.73507523536682
2022-04-19,2022-04-20,182.0270249843597
2022-04-20,2022-04-22,182.13961791992188
2022-04-22,2022-04-25,178.40959048271182
2022-04-25,2022-04-26,183.73069643974304
2022-04-26,2022-04-27,180.396479845047
2022-04-27,2022-04-28,179.90806818008426
2022-04-28,2022-04-29,182.11109948158264
2022-04-29,2022-05-02,181.4523370265961
2022-05-02,2022-05-03,239.87746906280518
2022-05-03,2022-05-04,181.88060760498047
2022-05-04,2022-05-05,186.70689344406128
2022-05-05,2022-05-06,183.7767059803009
2022-05-06,2022-05-09,192.20414447784424
2022-05-09,2022-05-10,183.77742671966556
2022-05-10,2022-05-11,184.46244168281555
2022-05-11,2022-05-12,178.9844467639923
2022-05-12,2022-05-13,183.75049662590027
2022-05-13,2022-05-16,192.52108359336853
2022-05-16,2022-05-17,191.5129427909851
2022-05-17,2022-05-18,192.08885526657104
2022-05-18,2022-05-19,191.7097065448761
2022-05-19,2022-05-20,207.7080492973328
2022-05-20,2022-05-23,199.96984362602237
2022-05-23,2022-05-24,197.93245768547058
2022-05-24,2022-05-25,204.75731110572812
2022-05-25,2022-05-26,214.56025671958923
2022-05-26,2022-05-27,203.84409308433533
2022-05-27,2022-05-30,208.85665369033813
2022-05-30,2022-05-31,203.42887592315674
2022-05-31,2022-06-01,216.8349311351776
2022-06-01,2022-06-02,213.72515988349915
2022-06-02,2022-06-03,220.3312315940857
2022-06-03,2022-06-06,222.6925218105316
2022-06-06,2022-06-07,308.380539894104
2022-06-07,2022-06-08,216.83653688430786
2022-06-08,2022-06-09,211.8979413509369
2022-06-09,2022-06-10,214.5450656414032
2022-06-10,2022-06-13,208.55792427062988
2022-06-13,2022-06-14,217.21017217636108
2022-06-14,2022-06-15,217.69838190078733
2022-06-15,2022-06-17,204.387930393219
2022-06-17,2022-06-20,206.7171828746796
2022-06-20,2022-06-21,219.90639281272888
2022-06-21,2022-06-22,212.36800146102902
2022-06-22,2022-06-23,209.81623220443728
2022-06-23,2022-06-24,221.93296670913696
2022-06-24,2022-06-27,215.66315126419067
2022-06-27,2022-06-28,217.09693503379825
2022-06-28,2022-06-29,207.99006724357605
2022-06-29,2022-06-30,218.24432682991028
2022-06-30,2022-07-01,210.5598702430725
2022-07-01,2022-07-04,205.53822302818298
2022-07-04,2022-07-05,217.41306591033938
2022-07-05,2022-07-06,206.27548480033875
2022-07-06,2022-07-07,208.11445999145508
2022-07-07,2022-07-08,206.62978625297544
2022-07-08,2022-07-11,207.1690752506256
2022-07-11,2022-07-12,219.41202402114868
2022-07-12,2022-07-13,219.02532696723938
2022-07-13,2022-07-14,212.416268825531
2022-07-14,2022-07-15,216.79467844963074
2022-07-15,2022-07-18,248.22392225265503
2022-07-18,2022-07-19,244.21714806556702
2022-07-19,2022-07-20,250.4445562362671
2022-07-20,2022-07-21,257.52239894866943
2022-07-21,2022-07-22,214.46342015266416
2022-07-22,2022-07-25,201.1977167129517
2022-07-25,2022-07-26,250.12988591194156
2022-07-26,2022-07-27,247.6951150894165
2022-07-27,2022-07-28,221.7256546020508
2022-07-28,2022-07-29,211.7354018688202
2022-07-29,2022-08-01,212.81337904930115
2022-08-01,2022-08-02,209.75389385223392
2022-08-02,2022-08-03,153.01326394081116
2022-08-03,2022-08-04,169.00957870483396
2022-08-04,2022-08-05,164.1459271907806
2022-08-05,2022-08-08,173.71273589134216
2022-08-08,2022-08-09,168.57586669921875
2022-08-09,2022-08-10,198.8450036048889
2022-08-10,2022-08-11,205.15684270858762
2022-08-11,2022-08-12,190.93065214157104
2022-08-12,2022-08-15,195.14100241661072
2022-08-15,2022-08-16,205.37156558036804
2022-08-16,2022-08-17,200.7787842750549
2022-08-17,2022-08-18,213.72399926185608
2022-08-18,2022-08-19,201.86514592170715
2022-08-19,2022-08-22,200.88254928588867
2022-08-22,2022-08-23,198.90620064735413
2022-08-23,2022-08-24,210.4229736328125
2022-08-24,2022-08-25,199.24665427207947
2022-08-25,2022-08-26,211.62441396713257
2022-08-26,2022-08-29,207.3595311641693
2022-08-29,2022-08-30,207.1862864494324
2022-08-30,2022-08-31,225.3310420513153
2022-08-31,2022-09-01,232.34505105018616
2022-09-01,2022-09-02,209.83958554267883
2022-09-02,2022-09-05,333.4977731704712
2022-09-05,2022-09-06,214.5843336582184
2022-09-06,2022-09-08,225.99112677574158
2022-09-08,2022-09-09,210.86705565452576
2022-09-09,2022-09-12,202.62263679504397
2022-09-12,2022-09-13,215.4907522201538
2022-09-13,2022-09-14,212.52280640602112
2022-09-14,2022-09-15,217.07984733581543
2022-09-15,2022-09-16,223.57930159568787
2022-09-16,2022-09-19,215.87430310249331
2022-09-19,2022-09-20,208.6129014492035
2022-09-20,2022-09-21,211.4285519123077
2022-09-21,2022-09-22,215.8765172958374
2022-09-22,2022-09-23,216.26433205604556
2022-09-23,2022-09-26,226.0774207115173
2022-09-26,2022-09-27,225.26528644561768
2022-09-27,2022-09-28,226.3593156337738
2022-09-28,2022-09-29,209.58784246444702
2022-09-29,2022-09-30,201.66083359718326
2022-09-30,2022-10-03,158.60911059379578
2022-10-03,2022-10-04,153.31227183341983
2022-10-04,2022-10-05,162.64473390579226
2022-10-05,2022-10-06,159.84152674674988
2022-10-06,2022-10-07,182.7339811325073
2022-10-07,2022-10-10,191.20077085494995
2022-10-10,2022-10-11,194.898631811142
2022-10-11,2022-10-13,186.51654934883118
2022-10-13,2022-10-14,178.18404841423038
2022-10-14,2022-10-17,176.02074480056763
2022-10-17,2022-10-18,189.03521347045898
2022-10-18,2022-10-19,186.5997934341431
2022-10-19,2022-10-20,182.61590886116028
2022-10-20,2022-10-21,181.7279930114746
2022-10-21,2022-10-24,188.94920945167544
2022-10-24,2022-10-25,186.67074108123782
2022-10-25,2022-10-26,181.37827515602112
2022-10-26,2022-10-27,188.01364636421204
2022-10-27,2022-10-28,184.92920064926147
2022-10-28,2022-10-31,190.89169549942017
2022-10-31,2022-11-01,189.60981488227844
2022-11-01,2022-11-03,185.84948968887332
2022-11-03,2022-11-04,186.1359612941742
2022-11-04,2022-11-07,189.71134734153748
2022-11-07,2022-11-08,186.1040363311768
2022-11-08,2022-11-09,155.16509580612185
2022-11-09,2022-11-10,205.71438241004944
2022-11-10,2022-11-11,208.26051092147827
2022-11-11,2022-11-14,196.04635167121887
2022-11-14,2022-11-16,233.51324033737183
2022-11-16,2022-11-17,218.53201460838318
2022-11-17,2022-11-18,222.2536494731903
2022-11-18,2022-11-21,215.2036554813385
2022-11-21,2022-11-22,217.02804946899414
2022-11-22,2022-11-23,226.39239072799683
2022-11-23,2022-11-24,223.9945433139801
2022-11-24,2022-11-25,220.11520528793332
2022-11-25,2022-11-28,221.35145092010498
2022-11-28,2022-11-29,221.23024487495425
2022-11-29,2022-11-30,219.23899817466736
2022-11-30,2022-12-01,222.08382153511047
2022-12-01,2022-12-02,223.60599613189697
2022-12-02,2022-12-05,217.9044682979584
2022-12-05,2022-12-06,223.6357755661011
2022-12-06,2022-12-07,184.22828793525696
2022-12-07,2022-12-08,223.63925552368164
2022-12-08,2022-12-09,216.29688119888303
2022-12-09,2022-12-12,222.79671287536618
2022-12-12,2022-12-13,216.23174834251404
2022-12-13,2022-12-14,231.48439812660217
2022-12-14,2022-12-15,226.06381225585938
2022-12-15,2022-12-16,231.2756290435791
2022-12-16,2022-12-19,223.1201856136322
2022-12-19,2022-12-20,224.98923325538638
2022-12-20,2022-12-21,220.28856015205383
2022-12-21,2022-12-22,223.55849242210388
2022-12-22,2022-12-23,223.87635898590088
2022-12-23,2022-12-26,229.5598785877228
2022-12-26,2022-12-27,222.44816327095032
2022-12-27,2022-12-28,229.5267331600189
2022-12-28,2022-12-29,229.58776426315308
