Data_Rebalanceamento,Data_Aplicacao,Status_Otimizacao,Motivo_Fallback
2025-06-12,2025-06-13,ok,
2025-06-13,2025-06-16,ok,
2025-06-16,2025-06-17,ok,
2025-06-17,2025-06-18,ok,
2025-06-18,2025-06-20,ok,
2025-06-20,2025-06-23,ok,
2025-06-23,2025-06-24,ok,
2025-06-24,2025-06-25,ok,
2025-06-25,2025-06-26,ok,
2025-06-26,2025-06-27,ok,
2025-06-27,2025-06-30,ok,
2025-06-30,2025-07-01,ok,
2025-07-01,2025-07-02,ok,
2025-07-02,2025-07-03,ok,
2025-07-03,2025-07-04,ok,
2025-07-04,2025-07-07,ok,
2025-07-07,2025-07-08,ok,
2025-07-08,2025-07-09,ok,
2025-07-09,2025-07-10,ok,
2025-07-10,2025-07-11,ok,
2025-07-11,2025-07-14,ok,
2025-07-14,2025-07-15,ok,
2025-07-15,2025-07-16,ok,
2025-07-16,2025-07-17,ok,
2025-07-17,2025-07-18,ok,
2025-07-18,2025-07-21,ok,
2025-07-21,2025-07-22,ok,
2025-07-22,2025-07-23,ok,
2025-07-23,2025-07-24,ok,
2025-07-24,2025-07-25,ok,
2025-07-25,2025-07-28,ok,
2025-07-28,2025-07-29,ok,
2025-07-29,2025-07-30,ok,
2025-07-30,2025-07-31,ok,
2025-07-31,2025-08-01,ok,
2025-08-01,2025-08-04,ok,
2025-08-04,2025-08-05,ok,
2025-08-05,2025-08-06,ok,
2025-08-06,2025-08-07,ok,
2025-08-07,2025-08-08,ok,
2025-08-08,2025-08-11,ok,
2025-08-11,2025-08-12,ok,
2025-08-12,2025-08-13,ok,
2025-08-13,2025-08-14,ok,
2025-08-14,2025-08-15,ok,
2025-08-15,2025-08-18,ok,
2025-08-18,2025-08-19,ok,
2025-08-19,2025-08-20,ok,
2025-08-20,2025-08-21,ok,
2025-08-21,2025-08-22,ok,
2025-08-22,2025-08-25,ok,
2025-08-25,2025-08-26,ok,
2025-08-26,2025-08-27,ok,
2025-08-27,2025-08-28,ok,
2025-08-28,2025-08-29,ok,
2025-08-29,2025-09-01,ok,
2025-09-01,2025-09-02,ok,
2025-09-02,2025-09-03,ok,
2025-09-03,2025-09-04,ok,
2025-09-04,2025-09-05,ok,
2025-09-05,2025-09-08,ok,
2025-09-08,2025-09-09,ok,
2025-09-09,2025-09-10,ok,
2025-09-10,2025-09-11,ok,
2025-09-11,2025-09-12,ok,
2025-09-12,2025-09-15,ok,
2025-09-15,2025-09-16,ok,
2025-09-16,2025-09-17,ok,
2025-09-17,2025-09-18,ok,
2025-09-18,2025-09-19,ok,
2025-09-19,2025-09-22,ok,
2025-09-22,2025-09-23,ok,
2025-09-23,2025-09-24,ok,
2025-09-24,2025-09-25,ok,
2025-09-25,2025-09-26,ok,
2025-09-26,2025-09-29,ok,
2025-09-29,2025-09-30,ok,
2025-09-30,2025-10-01,ok,
2025-10-01,2025-10-02,ok,
2025-10-02,2025-10-03,ok,
2025-10-03,2025-10-06,ok,
2025-10-06,2025-10-07,ok,
2025-10-07,2025-10-08,ok,
2025-10-08,2025-10-09,ok,
2025-10-09,2025-10-10,ok,
2025-10-10,2025-10-13,ok,
2025-10-13,2025-10-14,ok,
2025-10-14,2025-10-15,ok,
2025-10-15,2025-10-16,ok,
2025-10-16,2025-10-17,ok,
2025-10-17,2025-10-20,ok,
2025-10-20,2025-10-21,ok,
2025-10-21,2025-10-22,ok,
2025-10-22,2025-10-23,ok,
2025-10-23,2025-10-24,ok,
2025-10-24,2025-10-27,ok,
2025-10-27,2025-10-28,ok,
2025-10-28,2025-10-29,ok,
2025-10-29,2025-10-30,ok,
2025-10-30,2025-10-31,ok,
2025-10-31,2025-11-03,ok,
2025-11-03,2025-11-04,ok,
2025-11-04,2025-11-05,ok,
2025-11-05,2025-11-06,ok,
2025-11-06,2025-11-07,ok,
2025-11-07,2025-11-10,ok,
2025-11-10,2025-11-11,ok,
2025-11-11,2025-11-12,ok,
2025-11-12,2025-11-13,ok,
2025-11-13,2025-11-14,ok,
2025-11-14,2025-11-17,ok,
2025-11-17,2025-11-18,ok,
2025-11-18,2025-11-19,ok,
2025-11-19,2025-11-21,ok,
2025-11-21,2025-11-24,ok,
2025-11-24,2025-11-25,ok,
2025-11-25,2025-11-26,ok,
2025-11-26,2025-11-27,ok,
2025-11-27,2025-11-28,ok,
2025-11-28,2025-12-01,ok,
2025-12-01,2025-12-02,ok,
2025-12-02,2025-12-03,ok,
2025-12-03,2025-12-04,ok,
2025-12-04,2025-12-05,ok,
2025-12-05,2025-12-08,ok,
2025-12-08,2025-12-09,ok,
2025-12-09,2025-12-10,ok,
2025-12-10,2025-12-11,ok,
2025-12-11,2025-12-12,ok,
2025-12-12,2025-12-15,ok,
2025-12-15,2025-12-16,ok,
2025-12-16,2025-12-17,ok,
2025-12-17,2025-12-18,ok,
2025-12-18,2025-12-19,ok,
2025-12-19,2025-12-22,ok,
2025-12-22,2025-12-23,ok,
2025-12-23,2025-12-26,ok,
2025-12-26,2025-12-29,ok,
2025-12-29,2025-12-30,ok,
