Data_Rebalanceamento,Data_Aplicacao,Metodo,Obs_Clippadas_InSample,Obs_Clippadas_Aplicacao
2025-06-12,2025-06-13,winsor,1576,4
2025-06-13,2025-06-16,winsor,1576,5
2025-06-16,2025-06-17,winsor,1577,3
2025-06-17,2025-06-18,winsor,1577,4
2025-06-18,2025-06-20,winsor,1577,4
2025-06-20,2025-06-23,winsor,1577,8
2025-06-23,2025-06-24,winsor,1577,6
2025-06-24,2025-06-25,winsor,1576,4
2025-06-25,2025-06-26,winsor,1576,6
2025-06-26,2025-06-27,winsor,1576,6
2025-06-27,2025-06-30,winsor,1576,3
2025-06-30,2025-07-01,winsor,1576,7
2025-07-01,2025-07-02,winsor,1576,8
2025-07-02,2025-07-03,winsor,1576,6
2025-07-03,2025-07-04,winsor,1576,3
2025-07-04,2025-07-07,winsor,1576,4
2025-07-07,2025-07-08,winsor,1576,3
2025-07-08,2025-07-09,winsor,1576,1
2025-07-09,2025-07-10,winsor,1576,4
2025-07-10,2025-07-11,winsor,1576,5
2025-07-11,2025-07-14,winsor,1576,1
2025-07-14,2025-07-15,winsor,1576,0
2025-07-15,2025-07-16,winsor,1576,1
2025-07-16,2025-07-17,winsor,1576,3
2025-07-17,2025-07-18,winsor,1576,9
2025-07-18,2025-07-21,winsor,1576,6
2025-07-21,2025-07-22,winsor,1576,2
2025-07-22,2025-07-23,winsor,1576,3
2025-07-23,2025-07-24,winsor,1576,0
2025-07-24,2025-07-25,winsor,1576,1
2025-07-25,2025-07-28,winsor,1576,9
2025-07-28,2025-07-29,winsor,1576,1
2025-07-29,2025-07-30,winsor,1576,6
2025-07-30,2025-07-31,winsor,1575,4
2025-07-31,2025-08-01,winsor,1575,5
2025-08-01,2025-08-04,winsor,1575,5
2025-08-04,2025-08-05,winsor,1575,3
2025-08-05,2025-08-06,winsor,1575,10
2025-08-06,2025-08-07,winsor,1575,8
2025-08-07,2025-08-08,winsor,1575,14
2025-08-08,2025-08-11,winsor,1575,8
2025-08-11,2025-08-12,winsor,1576,5
2025-08-12,2025-08-13,winsor,1576,10
2025-08-13,2025-08-14,winsor,1576,9
2025-08-14,2025-08-15,winsor,1576,7
2025-08-15,2025-08-18,winsor,1576,4
2025-08-18,2025-08-19,winsor,1576,12
2025-08-19,2025-08-20,winsor,1576,7
2025-08-20,2025-08-21,winsor,1576,4
2025-08-21,2025-08-22,winsor,1576,12
2025-08-22,2025-08-25,winsor,1576,4
2025-08-25,2025-08-26,winsor,1575,3
2025-08-26,2025-08-27,winsor,1575,1
2025-08-27,2025-08-28,winsor,1575,4
2025-08-28,2025-08-29,winsor,1575,5
2025-08-29,2025-09-01,winsor,1575,4
2025-09-01,2025-09-02,winsor,1575,1
2025-09-02,2025-09-03,winsor,1575,6
2025-09-03,2025-09-04,winsor,1575,0
2025-09-04,2025-09-05,winsor,1575,5
2025-09-05,2025-09-08,winsor,1575,4
2025-09-08,2025-09-09,winsor,1575,3
2025-09-09,2025-09-10,winsor,1575,3
2025-09-10,2025-09-11,winsor,1575,4
2025-09-11,2025-09-12,winsor,1575,0
2025-09-12,2025-09-15,winsor,1575,6
2025-09-15,2025-09-16,winsor,1575,2
2025-09-16,2025-09-17,winsor,1575,2
2025-09-17,2025-09-18,winsor,1575,2
2025-09-18,2025-09-19,winsor,1575,2
2025-09-19,2025-09-22,winsor,1575,5
2025-09-22,2025-09-23,winsor,1575,4
2025-09-23,2025-09-24,winsor,1575,4
2025-09-24,2025-09-25,winsor,1575,2
2025-09-25,2025-09-26,winsor,1575,5
2025-09-26,2025-09-29,winsor,1575,6
2025-09-29,2025-09-30,winsor,1575,4
2025-09-30,2025-10-01,winsor,1575,3
2025-10-01,2025-10-02,winsor,1574,3
2025-10-02,2025-10-03,winsor,1574,4
2025-10-03,2025-10-06,winsor,1577,6
2025-10-06,2025-10-07,winsor,1577,8
2025-10-07,2025-10-08,winsor,1578,1
2025-10-08,2025-10-09,winsor,1578,2
2025-10-09,2025-10-10,winsor,1579,4
2025-10-10,2025-10-13,winsor,1579,4
2025-10-13,2025-10-14,winsor,1581,4
2025-10-14,2025-10-15,winsor,1581,3
2025-10-15,2025-10-16,winsor,1581,1
2025-10-16,2025-10-17,winsor,1581,4
2025-10-17,2025-10-20,winsor,1580,5
2025-10-20,2025-10-21,winsor,1580,4
2025-10-21,2025-10-22,winsor,1580,4
2025-10-22,2025-10-23,winsor,1581,2
2025-10-23,2025-10-24,winsor,1581,1
2025-10-24,2025-10-27,winsor,1581,6
2025-10-27,2025-10-28,winsor,1581,5
2025-10-28,2025-10-29,winsor,1581,7
2025-10-29,2025-10-30,winsor,1581,7
2025-10-30,2025-10-31,winsor,1581,5
2025-10-31,2025-11-03,winsor,1581,8
2025-11-03,2025-11-04,winsor,1581,1
2025-11-04,2025-11-05,winsor,1581,6
2025-11-05,2025-11-06,winsor,1581,5
2025-11-06,2025-11-07,winsor,1581,9
2025-11-07,2025-11-10,winsor,1580,7
2025-11-10,2025-11-11,winsor,1580,15
2025-11-11,2025-11-12,winsor,1581,7
2025-11-12,2025-11-13,winsor,1581,9
2025-11-13,2025-11-14,winsor,1581,9
2025-11-14,2025-11-17,winsor,1581,8
2025-11-17,2025-11-18,winsor,1581,3
2025-11-18,2025-11-19,winsor,1581,8
2025-11-19,2025-11-21,winsor,1581,7
2025-11-21,2025-11-24,winsor,1581,4
2025-11-24,2025-11-25,winsor,1581,4
2025-11-25,2025-11-26,winsor,1581,13
2025-11-26,2025-11-27,winsor,1581,8
2025-11-27,2025-11-28,winsor,1581,9
2025-11-28,2025-12-01,winsor,1581,1
2025-12-01,2025-12-02,winsor,1581,10
2025-12-02,2025-12-03,winsor,1581,7
2025-12-03,2025-12-04,winsor,1580,6
2025-12-04,2025-12-05,winsor,1580,77
2025-12-05,2025-12-08,winsor,1580,6
2025-12-08,2025-12-09,winsor,1580,3
2025-12-09,2025-12-10,winsor,1580,5
2025-12-10,2025-12-11,winsor,1580,7
2025-12-11,2025-12-12,winsor,1580,3
2025-12-12,2025-12-15,winsor,1580,7
2025-12-15,2025-12-16,winsor,1580,18
2025-12-16,2025-12-17,winsor,1580,5
2025-12-17,2025-12-18,winsor,1580,4
2025-12-18,2025-12-19,winsor,1580,6
2025-12-19,2025-12-22,winsor,1580,4
2025-12-22,2025-12-23,winsor,1580,10
2025-12-23,2025-12-26,winsor,1580,8
2025-12-26,2025-12-29,winsor,1580,6
2025-12-29,2025-12-30,winsor,1580,5
